cottage, swiss, cake, cheese, Very Easy
cream, skate, water, ice, Very Easy
loser, throat, spot, sore, Very Easy
show, life, row, boat, Very Easy
night, wrist, stop, watch, Very Easy
duck, fold, dollar, bill, Very Easy
rocking, wheel, high, chair, Very Easy
dew, comb, bee, honey, Very Easy
fountain, baking, pop, soda, Very Easy
preserve, ranger, tropical, forest, Very Easy
aid, rubber, wagon, band, Easy
flake, mobile, cone, snow, Easy
cracker, fly, fighter, fire, Very Easy
safety, cushion, point, pin, Easy
cane, daddy, plum, sugar, Very Easy
dream, break, light, day, Easy
fish, mine, rush, gold, Easy
political, surprise, line, party, Very Easy
measure, worm, video, tape, Very Easy
high, district, house, school/court, Easy
sense, courtesy, place, common, Medium
worm, shelf, end, book, Very Easy
piece, mind, dating, game, Hard
flower, friend, scout, girl, Medium
river, note, account, bank, Easy
print, berry, bird, blue, Easy
pie, luck, belly, pot, Medium
date, alley, fold, blind, Very Easy
opera, hand, dish, soap, Medium
cadet, capsule, ship, space, Easy
fur, rack, tail, coat, Easy
stick, maker, point, match, Hard
hound, pressure, shot, blood, Easy
fox, man, peep, hole, Medium
sleeping, bean, trash, bag, Very Easy
dust, cereal, fish, bowl, Hard
light, birthday, stick, candle, Medium
food, forward, break, fast, Very Easy
shine, beam, struck, moon, Medium
peach, arm, tar, pit, Medium
water, mine, shaker, salt, Very Easy
palm, shoe, house, tree, Medium
basket, eight, snow, ball, Easy
wheel, hand, shopping, cart, Medium
right, cat, carbon, copy, Hard
home, sea, bed, sick, Very Hard
nuclear, feud, album, family, Very Easy
sandwich, house, golf, club, Very Easy
cross, rain, tie, bow, Hard
sage, paint, hair, brush, Medium
french, car, shoe, horn, Medium
boot, summer, ground, camp, Medium
chamber, mask, natural, gas, Hard
mill, tooth, dust, saw, Medium
main, sweeper, light, street, Medium
pike, coat, signal, turn, Medium
office, mail, hat, box, Hard
fly, clip, wall, paper, Medium
age, mile, sand, stone, Hard
catcher, food, hot, dog, Hard
wagon, break, radio, station, Medium
tank, hill, secret, top, Hard
health, taker, less, care, Hard
lift, card, mask, face, Hard
dress, dial, flower, sun, Medium
force, line, mail, air, Hard
guy, rain, down, fall, Hard
eight, skate, stick, figure, Medium
down, question, check, mark, Medium
animal, back, rat, pack, Hard
officer, cash, larceny, petty, Hard
pine, crab, sauce, apple, Hard
house, thumb, pepper, green, Hard
carpet, alert, ink, red, Medium
master, toss, finger, ring, Medium
hammer, gear, hunter, head, Medium
knife, light, pal, pen, Medium
foul, ground, mate, play, Hard
change, circuit, cake, short, Hard
way, board, sleep, walk, Medium
blank, list, mate, check, Medium
tail, water, flood, gate, Hard
marshal, child, piano, grand, Hard
cover, arm, wear, under, Hard
rain, test, stomach, acid, Hard
time, blown, nelson, full, Hard
pile, market, room, stock, Hard
mouse, bear, sand, trap, Easy
cat, number, phone, call, Medium
keg, puff, room, powder, Medium
trip, house, goal, field, Very Hard
fork, dark, man, pitch, Very Hard
fence, card, master, post, Very Hard
test, runner, map, road, Hard
dive, light, rocket, sky, Hard
man, glue, star, super, Hard
tooth, potato, heart, sweet, Hard
illness, bus, computer, terminal, Very Hard
type, ghost, screen, writer, Medium
mail, board, lung, black, Very Hard
teeth, arrest, start, false, Hard
iron, shovel, engine, steam, Hard
wet, law, business, suit, Medium
rope, truck, line, tow, Hard
off, military, first, base, Hard
spoon, cloth, card, table, Hard
cut, cream, war, cold, Hard
note, chain, master, key, Hard
shock, shave, taste, after, Hard
wise, work, tower, clock, Very Hard
grass, king, meat, crab, Hard
baby, spring, cap, shower, Hard
break, bean, cake, coffee, Hard
cry, front, ship, battle, Very Hard
hold, print, stool, foot, Hard
roll, bean, fish, jelly, Hard
horse, human, drag, race, Medium
oil, bar, tuna, salad, Hard
bottom, curve, hop, bell, Hard
tomato, bomb, picker, cherry, Hard
pea, shell, chest, nut, Hard
line, fruit, drunk, punch, Very Hard
bump, egg, step, goose, Very Hard
fight, control, machine, gun, Hard
home, arm, room, rest, Hard
child, scan, wash, brain, Very Hard
nose, stone, bear, brown, Hard
end, line, lock, dead, Very Hard
control, place, rate, birth, Very Hard
lounge, hour, napkin, cocktail, Very Hard
artist, hatch, route, escape, Very Hard
pet, bottom, garden, rock, Very Hard
mate, shoes, total, running, Very Hard
self, attorney, spending, defense, Very Hard
board, blade, back, switch, Hard
land, hand, house, farm, Very Hard
hungry, order, belt, money, Very Hard
forward, flush, razor, straight, Very Hard
shadow, chart, drop, eye, Very Hard
way, ground, weather, fair, Very Hard
cast, side, jump, broad, Very Hard
back, step, screen, door, Hard
reading, service, stick, lip, Very Hard
over, plant, horse, power, Very Hard
falling, actor, dust, star, Very Easy
broken, clear, eye, glass, Very Easy
skunk, kings, boiled, cabbage, Very Easy
widow, bite, monkey, spider, Easy
bass, complex, sleep, deep, Easy
coin, quick, spoon, silver, Easy
gold, stool, tender, bar, Easy
time, hair, stretch, long, Easy
cracker, union, rabbit, jack, Medium
bald, screech, emblem, eagle, Medium
blood, music, cheese, blue, Medium
manners, round, tennis, table, Medium
off, trumpet, atomic, blast, Medium
playing, credit, report, card, Medium
rabbit, cloud, house, white, Medium
room, blood, salts, bath, Medium
salt, deep, foam, sea, Medium
square, cardboard, open, box, Medium
water, tobacco, stove, pipe, Medium
ache, hunter, cabbage, head, Medium
chamber, staff, box, music, Medium
high, book, sour, note, Medium
lick, sprinkle, mines, salt, Medium
pure, blue, fall, water, Medium
snack, line, birthday, party, Medium
square, telephone, club, book, Medium
surprise, wrap, care, gift, Medium
ticket, shop, broker, pawn, Medium
barrel, root, belly, beer, Medium
blade, witted, weary, dull, Medium
cherry, time, smell, blossom, Medium
notch, flight, spin, top, Medium
strap, pocket, time, watch, Medium
walker, main, sweeper, street, Medium
wicked, bustle, slicker, city, Medium
chocolate, fortune, tin, cookie, Hard
color, numbers, oil, paint, Hard
mouse, sharp, blue, cheese, Hard
sandwich, golf, foot, club, Hard
silk, cream, even, smooth, Hard
speak, money, street, easy, Hard
big, leaf, shade, tree, Hard
envy, golf, beans, green, Hard
hall, car, swimming, pool, Hard
ink, herring, neck, red, Hard
measure, desk, scotch, tape, Hard
strike, same, tennis, match, Hard
athletes, web, rabbit, foot, Hard
board, magic, death, black, Hard
lapse, vivid, elephant, memory, Hard
puss, tart, spoiled, sour, Hard
rock, times, steel, hard, Hard
stop, petty, sneak, thief, Hard
thread, pine, pain, needle, Hard
zone, still, noise, quiet, Hard
cloth, sad, out, sack, Hard
cotton, bathtub, tonic, gin, Hard
foot, collection, out, stamp, Hard
inch, deal, peg, square, Hard
jump, kill, bliss, joy, Hard
magic, plush, floor, carpet, Hard
note, dive, chair, high, Hard
stalk, trainer, king, lion, Hard
bump, throat, sum, lump, Hard
shopping, washer, picture, window, Hard
blank, white, lines, paper, Hard
stick, light, birthday, candle, Hard
sore, shoulder, sweat, cold, Very Hard
call, pay, line, phone, Medium
end, burning, blue, book, Medium
man, hot, sure, fire, Medium
stick, pal, ball, pin, Medium
blue, cake, cottage, cheese, Medium
man, wheel, high, chair, Medium
motion, poke, down, slow, Medium
line, birthday, surprise, party, Medium
wood, liquor, luck, hard, Medium
house, village, golf, green, Medium
plan, show, walker, floor, Medium
key, wall, previous, stone, Medium
bell, iron, tender, bar, Medium
water, youth, soda, fountain, Medium
base, snow, dance, ball, Medium
stop, kart, slow, go, Medium
up, book, charge, cover, Medium
tin, writer, my, type, Medium
leg, arm, person, chair, Medium
weight, out, pencil, lead, Medium
spin, tip, shape, top, Medium
sharp, tick, tie, tack, Medium
out, band, night, watch, Medium
cool, house, fat, cat, Medium
back, go, light, stop, Medium
man, order, air, mail, Medium
bath, up, burst, bubble, Medium
ball, out, blue, black, Medium
up, around, rear, end, Medium
house, blanket, ball, beach, Hard
trap, polar, claw, bear, Very Easy
cinder, building, buster, block, Very Easy
line, patrol, town, border, Hard
thorn, whack, rose, bush, Very Easy
garbage, beer, paint, can, Easy
scan, nap, burglar, cat, Very Easy
trap, back, screen, door, Easy
through, disk, way, drive, Hard
tax, real, fourth, estate, Hard
life, color, coast, guard, Hard
wave, lamp, dry, heat, Hard
glass, rush, happy, hour, Easy
waffle, lung, tire, iron, Medium
poison, league, creeping, ivy, Medium
pain, serial, whale, killer, Very Easy
floor, shade, heat, lamp, Easy
puppy, TRUE, letter, love, Easy
bedroom, plan, brew, master, Hard
mouth, bike, oil, motor, Hard
polish, finger, down, nail, Easy
sake, pet, nick, name, Hard
computer, cable, broadcast, network, Very Hard
skirts, take, put, out, Medium
jury, door, side, panel, Very Hard
due, life, tense, past, Hard
tomato, cement, tooth, paste, Hard
flag, vault, fishing, pole, Very Easy
release, french, secretary, press, Hard
dollar, stop, language, sign, Very Easy
quick, spoon, screen, silver, Medium
grand, door, bang, slam, Very Hard
dash, happy, stick, slap, Very Hard
ruby, glass, bunny, slipper, Medium
demon, limit, way, speed, Medium
gap, door, sign, stop, Hard
food, front, drug, store, Medium
set, program, cable, television, Very Easy
chest, car, store, toy, Very Hard
property, moral, price, value, Hard
rag, milk, out, weed, Hard
noise, collar, wash, white, Medium
bay, picture, washer, window, Medium
hard, drift, cutter, wood, Easy
cottage, brick, cake, cheese, Very Easy
stick, hair, ball, pin, Medium
stool, powder, ball, foot, Medium
key, wall, precious, stone, Medium
water, pen, soda, fountain, Medium
steady, cart, slow, go, Medium
tin, write, my, type, Medium
weight, pipe, pencil, lead, Medium
sharp, thumb, tie, tack, Medium
back, short, light, stop, Medium
bath, up, gum, bubble, Medium
ball, out, jack, black, Medium
up, deep, rear, end, Medium
shelf, read, end, book, Easy
sea, home, stomach, sick, Easy
car, swimming, cue, pool, Easy
cookies, sixteen, heart, sweet, Easy
lounge, hour, drink, cocktail, Easy
keel, show, row, boat, Easy
desert, ice, spell, dry, Hard
base, show, dance, ball, Hard
soap, shoe, tissue, box, Hard
hot, butterflies, pump, stomach, Hard
head, street, dark, light, Easy
room, saturday, salts, bath, Hard
surprise, line, birthday, party, Easy
red, go, car, stop, Easy
